,Temporada,time,adversário,casa/fora,Jogador,Min,Pts_C,Pts_T,3_Pts_C,3_Pts_T,2_Pts_C,2_Pts_T,LL_Pts_C,LL_Pts_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN
7,19,Rio Claro,Pinheiros,2,Baxley,17.4,3,9,0,1,0,1,3,4,0,1,1,0.0,0.0,0.0,1.0,2.0,0,0.0
8,19,Rio Claro,Pinheiros,2,Lucão,12.0,1,6,0,0,0,2,1,2,2,0,2,0.0,0.0,0.0,3.0,2.0,2,0.0
9,19,Rio Claro,Pinheiros,2,Bruno,0.3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
10,19,Rio Claro,Pinheiros,2,Equipe,0.0,86,164,12,24,14,32,22,28,9,28,37,16.0,7.0,1.0,24.0,23.0,13,2.0
0,19,Corinthians,Mogi,1,Fischer,28.5,23,36,2,5,6,7,5,7,1,4,5,4.0,1.0,1.0,1.0,6.0,2,0.0
1,19,Corinthians,Mogi,1,Nesbitt,33.1,17,33,1,4,3,6,8,9,2,6,8,1.0,0.0,0.0,3.0,5.0,1,0.0
2,19,Corinthians,Mogi,1,Fuller,29.6,15,26,2,5,2,3,5,5,0,0,0,4.0,2.0,0.0,5.0,4.0,2,0.0
3,19,Corinthians,Mogi,1,Vezaro,33.7,13,31,3,9,1,1,2,2,0,4,4,1.0,0.0,0.0,4.0,2.0,1,0.0
4,19,Corinthians,Mogi,1,Wesley,24.5,6,16,0,2,2,4,2,2,0,5,5,0.0,2.0,0.0,3.0,1.0,3,1.0
5,19,Corinthians,Mogi,1,Robinson,15.1,2,5,0,1,0,0,2,2,0,5,5,0.0,0.0,0.0,1.0,1.0,2,0.0
6,19,Corinthians,Mogi,1,Douglas Santos,2.9,1,2,0,0,0,0,1,2,1,0,1,0.0,0.0,0.0,0.0,1.0,0,0.0
7,19,Corinthians,Mogi,1,Pecos,14.3,1,13,0,3,0,1,1,2,0,5,5,3.0,1.0,0.0,3.0,2.0,2,0.0
8,19,Corinthians,Mogi,1,Humberto,7.9,0,4,0,0,0,2,0,0,1,0,1,0.0,0.0,1.0,0.0,2.0,1,0.0
9,19,Corinthians,Mogi,1,Johnson,10.6,0,0,0,0,0,0,0,0,1,0,1,0.0,0.0,1.0,2.0,0.0,1,0.0
10,19,Corinthians,Mogi,1,Equipe,0.0,78,166,8,29,14,24,26,31,8,32,40,13.0,6.0,3.0,23.0,24.0,16,1.0
0,19,Mogi,Corinthians,2,Fuzaro,34.1,20,30,1,2,5,8,7,8,0,3,3,3.0,0.0,0.0,3.0,6.0,1,0.0
1,19,Mogi,Corinthians,2,André Goes,37.0,17,39,4,8,2,7,1,1,0,3,3,2.0,1.0,1.0,4.0,1.0,4,0.0
2,19,Mogi,Corinthians,2,Alexey,25.9,9,24,0,3,4,7,1,1,0,4,4,4.0,3.0,0.0,2.0,3.0,0,0.0
3,19,Mogi,Corinthians,2,Fabricio,21.9,6,20,2,6,0,1,0,0,0,3,3,1.0,0.0,0.0,3.0,2.0,1,0.0
4,19,Mogi,Corinthians,2,Fúlvio,31.1,6,22,1,3,0,3,3,7,2,0,2,6.0,0.0,0.0,3.0,5.0,4,0.0
5,19,Mogi,Corinthians,2,Paranhos,18.2,6,10,0,0,2,4,2,2,2,5,7,0.0,0.0,0.0,4.0,1.0,2,0.0
6,19,Mogi,Corinthians,2,Lessa,10.9,4,11,0,2,2,2,0,1,0,3,3,0.0,0.0,0.0,1.0,1.0,1,0.0
