,Njogador,Temporada,Time,Adv,C_F,Jogador,Min,Pts_C,Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_Pts_C,LL_Pts_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN
2545,5,19,Rio Claro,São Paulo,2,Ansaloni,22:1,8,14,0,0,4,7,0,0,1,2,3,1,1,0,2,1,1,0
2546,6,19,Rio Claro,São Paulo,2,Figueroa,20:6,7,7,1,1,0,0,4,4,0,2,2,3,0,0,4,3,0,0
2547,7,19,Rio Claro,São Paulo,2,Pedro,19:4,5,17,1,3,1,4,0,0,1,3,4,2,0,0,3,3,0,0
2548,8,19,Rio Claro,São Paulo,2,Lucão,7:8,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0
2549,9,19,Rio Claro,São Paulo,2,Thiaguinho,1:3,0,5,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2550,10,19,Rio Claro,São Paulo,2,Lelê,0:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2551,11,19,Rio Claro,São Paulo,2,Equipe,0:0,106,170,15,24,20,38,21,22,3,26,29,22,5,3,24,23,7,1
2552,0,19,Flamengo,São José,1,Marquinhos,28:7,20,44,2,8,4,7,6,6,0,3,3,4,2,0,1,5,3,1
2553,1,19,Flamengo,São José,1,Olivinha,22:2,18,25,1,2,6,8,3,3,4,4,8,1,1,1,2,3,0,0
2554,2,19,Flamengo,São José,1,Demétrio,21:4,17,26,3,5,3,4,2,3,1,7,8,0,0,1,2,3,1,1
2555,3,19,Flamengo,São José,1,Zach Graham,25:2,14,28,2,6,4,5,0,0,0,1,1,3,1,0,1,2,0,0
2556,4,19,Flamengo,São José,1,Mineiro,19:7,11,19,0,0,4,6,3,7,2,6,8,0,0,0,2,6,2,0
2557,5,19,Flamengo,São José,1,Balbi,27:1,6,12,1,2,1,2,1,2,0,1,1,13,3,1,1,1,5,0
2558,6,19,Flamengo,São José,1,Ruan,8:8,6,14,0,0,1,4,4,6,4,2,6,1,0,0,1,4,0,1
2559,7,19,Flamengo,São José,1,Jhonatan,16:7,5,9,1,1,1,3,0,0,0,1,1,1,1,0,2,1,1,0
2560,8,19,Flamengo,São José,1,Deryk,18:7,5,14,1,4,1,1,0,0,0,1,1,5,0,0,2,0,2,0
2561,9,19,Flamengo,São José,1,Pedro Nunes,8:0,1,6,0,0,0,2,1,2,1,1,2,0,0,0,1,0,0,0
2562,10,19,Flamengo,São José,1,R. Rachel,1:3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2563,11,19,Flamengo,São José,1,Matheusinho,2:5,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
2564,12,19,Flamengo,São José,1,Equipe,0:0,103,197,11,28,25,42,20,29,16,28,44,28,8,3,15,25,14,3
2565,0,19,São José,Flamengo,2,Duda,28:9,16,29,4,7,2,4,0,0,0,3,3,5,3,0,2,2,5,0
2566,1,19,São José,Flamengo,2,Ambrosino,18:4,16,23,2,3,4,6,2,2,0,4,4,0,0,0,4,2,0,1
2567,2,19,São José,Flamengo,2,Rafael,29:2,12,25,0,1,6,11,0,0,4,2,6,3,0,0,3,1,4,0
2568,3,19,São José,Flamengo,2,L. Eltink,28:6,10,12,1,1,3,4,1,1,2,4,6,5,3,0,3,2,1,0
2569,4,19,São José,Flamengo,2,Eugeniusz,16:1,9,11,1,1,2,3,2,2,0,1,1,5,1,0,2,3,1,0
2570,5,19,São José,Flamengo,2,Mariani,24:8,9,27,3,9,0,0,0,0,0,1,1,1,0,0,3,2,2,0
2571,6,19,São José,Flamengo,2,Lupa,22:4,4,20,0,0,2,9,0,2,1,2,3,4,0,0,1,1,1,0
2572,7,19,São José,Flamengo,2,Figueredo,21:7,4,19,0,3,2,5,0,0,0,3,3,1,0,0,2,2,2,0
2573,8,19,São José,Flamengo,2,Daniel,2:1,3,7,1,1,0,2,0,0,1,0,1,0,0,0,0,0,0,0
2574,9,19,São José,Flamengo,2,Conceição,7:9,0,2,0,0,0,1,0,0,0,0,0,0,0,3,5,0,1,0
2575,10,19,São José,Flamengo,2,Equipe,0:0,83,175,12,26,21,45,5,7,11,23,34,24,7,3,25,15,17,1
2576,0,19,UNIFACISA,Minas,1,João Vitor,18:2,21,25,1,1,8,10,2,2,1,3,4,1,0,0,3,3,2,1
2577,1,19,UNIFACISA,Minas,1,Barnes,34:0,20,43,2,7,4,8,6,6,0,2,2,4,3,0,2,4,0,0
2578,2,19,UNIFACISA,Minas,1,Douglas Nunes,25:1,10,23,1,3,2,5,3,4,4,4,8,1,0,1,3,5,1,0
2579,3,19,UNIFACISA,Minas,1,Miller,24:8,9,23,1,5,2,3,2,2,1,2,3,0,0,0,2,1,0,0
2580,4,19,UNIFACISA,Minas,1,Gemerson,19:7,9,22,1,4,1,3,4,4,4,3,7,1,0,0,2,4,2,0
2581,5,19,UNIFACISA,Minas,1,Gemadinha,16:3,5,11,1,3,1,1,0,0,0,0,0,3,0,0,2,1,0,0
2582,6,19,UNIFACISA,Minas,1,Pepo Vidal,28:2,5,20,1,4,1,4,0,0,0,5,5,4,2,0,0,0,3,0
2583,7,19,UNIFACISA,Minas,1,Antonio,16:8,4,13,0,1,0,3,4,4,1,2,3,0,0,0,3,3,1,0
2584,8,19,UNIFACISA,Minas,1,Gabriel,12:5,1,7,0,1,0,1,1,2,1,1,2,0,0,0,1,3,1,0
2585,9,19,UNIFACISA,Minas,1,Nicolas Ronsini,0:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2586,10,19,UNIFACISA,Minas,1,R. Piru,0:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2587,11,19,UNIFACISA,Minas,1,Pezão,4:3,0,2,0,0,0,1,0,0,1,1,2,0,0,0,1,0,1,0
2588,12,19,UNIFACISA,Minas,1,Equipe,0:0,84,189,8,29,19,39,22,24,17,24,41,14,5,1,19,24,12,1
2589,0,19,Minas,UNIFACISA,2,Alex,37:0,22,45,4,8,4,9,2,3,0,6,6,6,1,0,2,4,2,0
2590,1,19,Minas,UNIFACISA,2,Leandrinho,30:6,21,40,2,5,6,11,3,3,1,4,5,1,2,0,2,3,2,0
2591,2,19,Minas,UNIFACISA,2,Deodato,30:8,12,28,3,7,1,3,1,1,1,4,5,4,1,0,3,1,1,0
2592,3,19,Minas,UNIFACISA,2,Shilton,27:0,12,17,0,0,5,7,2,3,2,3,5,0,0,0,4,5,2,0
2593,4,19,Minas,UNIFACISA,2,Scott,13:0,10,14,0,0,3,5,4,4,1,1,2,1,0,1,3,4,2,0
2594,5,19,Minas,UNIFACISA,2,Alexei,16:0,8,10,0,0,4,5,0,0,1,1,2,1,0,0,4,0,0,0
2595,6,19,Minas,UNIFACISA,2,Davi,37:6,7,11,1,1,2,4,0,0,1,2,3,3,1,0,3,2,1,0
2596,7,19,Minas,UNIFACISA,2,Tyrone,0:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2597,8,19,Minas,UNIFACISA,2,Queiroz,3:4,0,2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0
2598,9,19,Minas,UNIFACISA,2,Jackson Jr,4:6,0,6,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2599,10,19,Minas,UNIFACISA,2,Equipe,0:0,92,173,10,23,25,45,12,14,10,23,33,16,5,1,24,19,12,0
2600,0,19,Paulistano,São Paulo,1,Yago,37:7,21,40,6,10,0,2,3,6,1,3,4,7,1,0,2,6,2,0
2601,1,19,Paulistano,São Paulo,1,Maique,30:0,18,18,0,0,8,8,2,2,2,4,6,1,0,1,1,2,0,4
2602,2,19,Paulistano,São Paulo,1,Eddy,32:5,15,49,4,15,1,1,1,2,2,6,8,2,1,0,2,1,0,0
2603,3,19,Paulistano,São Paulo,1,Solano,27:4,13,32,2,7,3,5,1,1,0,3,3,4,0,0,4,2,1,0
2604,4,19,Paulistano,São Paulo,1,Ruivo,29:8,9,26,3,8,0,1,0,0,0,2,2,1,0,0,2,1,0,0
2605,5,19,Paulistano,São Paulo,1,Vitão,34:7,8,22,2,6,1,2,0,0,0,2,2,3,0,0,5,0,1,0
2606,6,19,Paulistano,São Paulo,1,Dikembe,15:0,4,8,0,0,2,4,0,0,3,6,9,0,0,0,3,0,0,0
2607,7,19,Paulistano,São Paulo,1,Kevin Foster,9:7,2,24,0,6,1,3,0,0,2,1,3,0,0,0,1,0,1,0
2608,8,19,Paulistano,São Paulo,1,D. Coleman,7:0,2,11,0,3,1,1,0,0,0,1,1,1,0,0,0,0,0,0
2609,9,19,Paulistano,São Paulo,1,Jonatan,1:3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2610,10,19,Paulistano,São Paulo,1,Cristhyã,0:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2611,11,19,Paulistano,São Paulo,1,Buiú,0:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2612,12,19,Paulistano,São Paulo,1,Equipe,0:0,92,230,17,55,17,27,7,11,10,33,43,19,2,1,20,12,6,4
2613,0,19,São Paulo,Paulistano,2,Renan,44:7,28,48,6,10,3,6,4,6,2,6,8,0,0,0,4,5,0,1
2614,1,19,São Paulo,Paulistano,2,Léo Meindl,41:5,20,47,2,7,5,11,4,4,5,8,13,4,0,0,3,4,2,1
2615,2,19,São Paulo,Paulistano,2,Shamell,44:8,18,37,2,5,4,9,4,4,2,4,6,6,0,0,1,2,2,0
2616,3,19,São Paulo,Paulistano,2,Jefferson,24:9,12,34,4,10,0,2,0,0,0,6,6,1,0,0,2,1,0,0
2617,4,19,São Paulo,Paulistano,2,Georginho,44:7,11,30,0,4,4,7,3,4,2,11,13,13,1,2,1,4,2,0
2618,5,19,São Paulo,Paulistano,2,Murilo,14:9,9,19,0,1,2,5,5,6,2,1,3,0,0,0,1,3,0,0
2619,6,19,São Paulo,Paulistano,2,Igor,0:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2620,7,19,São Paulo,Paulistano,2,Danilo,0:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2621,8,19,São Paulo,Paulistano,2,Kurtz,5:4,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2622,9,19,São Paulo,Paulistano,2,Mamedes,0:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2623,10,19,São Paulo,Paulistano,2,Jones,3:5,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2624,11,19,São Paulo,Paulistano,2,Cassiano,0:4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
2625,12,19,São Paulo,Paulistano,2,Equipe,0:0,98,220,14,38,18,41,20,24,14,40,54,24,1,2,12,19,6,2
2626,0,19,Rio Claro,Sesi Franca,1,Baxley,27:8,22,30,1,2,7,9,5,6,0,2,2,1,0,0,4,6,1,0
2627,1,19,Rio Claro,Sesi Franca,1,Ansaloni,26:8,19,33,1,5,5,6,6,6,1,6,7,1,0,1,4,3,2,0
2628,2,19,Rio Claro,Sesi Franca,1,Sahdi,28:0,17,22,4,5,0,1,5,5,0,1,1,7,2,0,2,5,3,0
2629,3,19,Rio Claro,Sesi Franca,1,Enzo,26:8,14,32,2,8,2,2,4,4,1,2,3,1,1,0,5,2,2,0
2630,4,19,Rio Claro,Sesi Franca,1,Gerson,30:2,10,14,0,0,4,6,2,2,1,3,4,2,0,0,3,2,1,1
2631,5,19,Rio Claro,Sesi Franca,1,Lucão,16:3,8,11,0,0,3,3,2,5,1,2,3,0,0,1,4,3,0,1
2632,6,19,Rio Claro,Sesi Franca,1,Figueroa,16:4,3,12,0,2,1,2,1,2,1,0,1,1,1,0,3,1,1,0
2633,7,19,Rio Claro,Sesi Franca,1,Pedro,19:0,3,14,1,4,0,1,0,0,0,1,1,4,0,0,4,0,0,0
2634,8,19,Rio Claro,Sesi Franca,1,Pastor,8:8,2,8,0,2,1,1,0,0,0,5,5,1,0,0,2,0,0,0
2635,9,19,Rio Claro,Sesi Franca,1,Thiaguinho,0:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2636,10,19,Rio Claro,Sesi Franca,1,Lelê,0:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2637,11,19,Rio Claro,Sesi Franca,1,Bruno,0:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2638,12,19,Rio Claro,Sesi Franca,1,Equipe,0:0,98,176,9,28,23,31,25,30,8,22,30,18,4,2,32,22,11,2
2639,0,19,Sesi Franca,Rio Claro,2,David Jackson,35:3,24,37,1,4,7,9,7,7,0,6,6,6,0,1,1,8,1,0
2640,1,19,Sesi Franca,Rio Claro,2,Hettsheimeir,28:1,14,30,0,2,4,7,6,10,1,4,5,0,0,1,1,11,0,0
2641,2,19,Sesi Franca,Rio Claro,2,Schattmann,19:1,13,21,1,3,3,4,4,4,0,1,1,1,0,0,3,1,1,0
2642,3,19,Sesi Franca,Rio Claro,2,Lucas Dias,32:0,10,23,2,3,1,5,2,4,2,3,5,2,1,1,5,4,2,0
2643,4,19,Sesi Franca,Rio Claro,2,Elinho,26:3,7,15,1,3,1,2,2,2,1,1,2,4,1,0,2,2,1,0
2644,5,19,Sesi Franca,Rio Claro,2,Guilherme,3:9,6,6,2,2,0,0,0,0,0,1,1,0,0,0,0,1,0,0
2645,6,19,Sesi Franca,Rio Claro,2,Jimmy,26:1,4,15,1,3,0,2,1,2,1,2,3,0,1,0,3,1,2,0
2646,7,19,Sesi Franca,Rio Claro,2,Parodi,21:1,4,15,0,3,2,3,0,0,0,2,2,2,1,0,4,0,2,0
2647,8,19,Sesi Franca,Rio Claro,2,Guilherme,8:3,2,6,0,0,1,3,0,0,0,2,2,0,1,0,4,2,2,0
2648,9,19,Sesi Franca,Rio Claro,2,Adyel,0:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2649,10,19,Sesi Franca,Rio Claro,2,Márcio,0:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2650,11,19,Sesi Franca,Rio Claro,2,Equipe,0:0,84,168,8,23,19,35,22,29,10,22,32,15,5,3,25,30,11,0
2651,0,19,Basq. Cearense,Minas,1,Brite,30:6,21,38,5,10,2,3,2,2,2,3,5,1,1,0,4,2,2,0
2652,1,19,Basq. Cearense,Minas,1,Vinicius,30:7,15,26,0,0,4,9,7,8,3,6,9,2,1,1,3,8,0,2
2653,2,19,Basq. Cearense,Minas,1,Sualisson,30:8,14,26,0,0,7,13,0,0,4,12,16,3,0,2,3,1,2,0
2654,3,19,Basq. Cearense,Minas,1,Rashaun,34:2,14,38,2,7,2,6,4,5,0,2,2,1,0,0,2,4,1,0
2655,4,19,Basq. Cearense,Minas,1,Cauê,11:0,6,11,0,1,3,3,0,2,1,2,3,0,0,0,2,1,1,0
2656,5,19,Basq. Cearense,Minas,1,Alex,25:5,5,18,1,4,0,1,2,4,1,2,3,0,0,1,5,3,0,0
2657,6,19,Basq. Cearense,Minas,1,Gabriel,1:8,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2658,7,19,Basq. Cearense,Minas,1,Davis,23:7,1,19,0,5,0,1,1,2,0,2,2,0,2,0,4,2,2,0
2659,8,19,Basq. Cearense,Minas,1,Mathias,9:4,1,5,0,1,0,0,1,2,0,3,3,0,0,0,2,1,2,0
2660,9,19,Basq. Cearense,Minas,1,Armani,2:4,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2661,10,19,Basq. Cearense,Minas,1,J. Gabriel,0:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2662,11,19,Basq. Cearense,Minas,1,Equipe,0:0,79,185,8,28,19,38,17,25,12,34,46,7,4,4,25,22,12,2
2663,0,19,Minas,Basq. Cearense,2,Alex,32:5,29,42,4,7,6,8,5,5,0,4,4,4,2,0,3,3,0,0
2664,1,19,Minas,Basq. Cearense,2,Deodato,31:6,18,32,4,8,0,1,6,6,1,4,5,1,1,1,3,3,1,0
2665,2,19,Minas,Basq. Cearense,2,Scott,25:1,15,24,0,0,4,7,7,10,1,4,5,1,0,0,4,7,1,0
2666,3,19,Minas,Basq. Cearense,2,Davi,27:0,6,19,2,5,0,2,0,0,1,5,6,3,0,0,3,3,0,0
2667,4,19,Minas,Basq. Cearense,2,Leandrinho,30:4,6,30,0,6,2,4,2,4,1,2,3,7,1,0,3,3,4,0
2668,5,19,Minas,Basq. Cearense,2,Shilton,14:5,3,5,0,0,1,2,1,1,1,1,2,0,1,0,4,1,1,0
2669,6,19,Minas,Basq. Cearense,2,Tyrone,16:7,3,17,0,2,1,5,1,1,0,4,4,2,0,0,1,2,2,0
2670,7,19,Minas,Basq. Cearense,2,Jackson Jr,9:6,2,7,0,1,0,0,2,4,1,1,2,0,0,0,1,2,0,0
2671,8,19,Minas,Basq. Cearense,2,Queiroz,6:5,0,3,0,1,0,0,0,0,0,3,3,0,0,0,1,0,0,0
2672,9,19,Minas,Basq. Cearense,2,Alexei,6:1,0,9,0,3,0,0,0,0,0,1,1,0,0,0,0,1,0,0
2673,10,19,Minas,Basq. Cearense,2,Equipe,0:0,82,188,10,33,14,29,24,31,8,31,39,18,5,1,23,25,9,0
2674,0,19,UNIFACISA,Mogi,1,Barnes,33:4,23,39,5,9,2,4,4,4,0,2,2,12,1,1,2,4,3,0
2675,1,19,UNIFACISA,Mogi,1,Miller,26:2,19,41,4,9,2,4,3,4,0,4,4,1,0,0,0,3,1,0
2676,2,19,UNIFACISA,Mogi,1,Douglas Nunes,29:8,16,27,2,5,4,5,2,2,2,5,7,3,0,2,3,1,2,0
2677,3,19,UNIFACISA,Mogi,1,Gabriel,21:8,15,26,4,7,1,2,1,1,1,2,3,2,2,0,5,1,2,0
2678,4,19,UNIFACISA,Mogi,1,Antonio,20:7,14,14,4,4,0,0,2,2,0,4,4,0,0,0,2,1,0,0
2679,5,19,UNIFACISA,Mogi,1,Gemadinha,23:7,6,14,2,4,0,1,0,0,0,2,2,1,0,0,4,2,0,0
2680,6,19,UNIFACISA,Mogi,1,Pezão,10:2,3,6,0,0,1,2,1,2,1,2,3,0,1,0,3,1,0,0
2681,7,19,UNIFACISA,Mogi,1,João Vitor,4:9,2,2,0,0,1,1,0,0,0,1,1,0,0,0,3,0,1,1
2682,8,19,UNIFACISA,Mogi,1,Gemerson,19:2,1,10,0,0,0,4,1,2,0,3,3,0,0,0,0,2,1,0
2683,9,19,UNIFACISA,Mogi,1,Nicolas Ronsini,10:2,0,8,0,2,0,1,0,0,0,0,0,2,0,0,0,1,0,0
2684,10,19,UNIFACISA,Mogi,1,Pepo Vidal,0:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2685,11,19,UNIFACISA,Mogi,1,R. Piru,0:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2686,12,19,UNIFACISA,Mogi,1,Equipe,0:0,99,187,21,40,11,24,14,17,6,28,34,21,4,3,22,16,10,1
2687,0,19,Mogi,UNIFACISA,2,Gruber,35:4,19,51,2,8,4,11,5,5,3,3,6,2,3,1,2,5,3,1
2688,1,19,Mogi,UNIFACISA,2,André Goes,36:1,18,45,3,7,2,7,5,8,1,5,6,4,2,0,5,6,3,0
2689,2,19,Mogi,UNIFACISA,2,Lucas,26:6,14,17,2,3,3,3,2,2,0,2,2,3,1,0,3,1,0,0
2690,3,19,Mogi,UNIFACISA,2,Fuzaro,27:4,12,28,0,2,5,9,2,4,2,2,4,1,0,0,5,4,3,0
2691,4,19,Mogi,UNIFACISA,2,Paranhos,28:8,11,22,0,0,5,10,1,2,6,7,13,2,0,1,2,3,2,2
2692,5,19,Mogi,UNIFACISA,2,Fabricio,33:3,5,20,1,6,1,1,0,0,0,7,7,1,1,0,1,0,1,0
2693,6,19,Mogi,UNIFACISA,2,Lessa,7:4,4,6,0,0,2,3,0,0,0,2,2,0,0,0,1,1,0,0
2694,7,19,Mogi,UNIFACISA,2,Ziggy,0:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2695,8,19,Mogi,UNIFACISA,2,Alex,4:6,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
2696,9,19,Mogi,UNIFACISA,2,Colina,0:5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2697,10,19,Mogi,UNIFACISA,2,Equipe,0:0,83,189,8,26,22,44,15,21,13,29,42,13,7,2,19,20,12,3
2698,0,19,Flamengo,Rio Claro,1,Zach Graham,23:4,14,16,2,2,4,5,0,0,1,3,4,1,1,0,1,1,1,0
2699,1,19,Flamengo,Rio Claro,1,Mineiro,21:2,13,22,1,2,5,8,0,0,0,1,1,1,1,0,1,0,0,0
2700,2,19,Flamengo,Rio Claro,1,Deryk,20:3,12,17,2,3,2,3,2,2,0,0,0,6,0,0,0,2,0,0
2701,3,19,Flamengo,Rio Claro,1,Marquinhos,21:4,11,24,2,3,1,6,3,3,1,1,2,1,0,0,2,5,0,0
2702,4,19,Flamengo,Rio Claro,1,Vargas,21:5,10,22,0,0,4,10,2,2,3,7,10,0,1,0,2,3,0,1
2703,5,19,Flamengo,Rio Claro,1,Balbi,20:3,9,12,2,3,1,1,1,1,0,3,3,10,0,0,2,3,1,0
2704,6,19,Flamengo,Rio Claro,1,Olivinha,15:0,9,21,1,3,3,6,0,0,0,5,5,1,1,0,0,0,2,0
2705,7,19,Flamengo,Rio Claro,1,Demétrio,21:6,8,20,1,5,2,2,1,1,1,4,5,1,0,0,1,1,0,0
2706,8,19,Flamengo,Rio Claro,1,Jhonatan,15:3,3,15,1,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0
2707,9,19,Flamengo,Rio Claro,1,Matheusinho,7:2,2,11,0,3,0,0,2,2,1,0,1,1,0,0,1,2,0,0
2708,10,19,Flamengo,Rio Claro,1,Pedro Nunes,11:9,0,10,0,2,0,1,0,2,0,0,0,0,0,0,0,2,0,0
2709,11,19,Flamengo,Rio Claro,1,R. Rachel,0:8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2710,12,19,Flamengo,Rio Claro,1,Equipe,0:0,91,190,12,31,22,42,11,13,9,26,35,22,4,0,17,19,6,1
2711,0,19,Rio Claro,Flamengo,2,Gerson,30:6,21,40,0,1,10,17,1,3,3,4,7,1,0,0,1,4,2,0
2712,1,19,Rio Claro,Flamengo,2,Enzo,30:7,11,30,1,5,2,5,4,5,0,7,7,0,0,1,2,3,0,0
2713,2,19,Rio Claro,Flamengo,2,Sahdi,23:9,10,13,2,3,1,1,2,2,0,2,2,5,0,0,4,2,3,0
2714,3,19,Rio Claro,Flamengo,2,Lucão,20:9,9,19,0,0,4,9,1,1,4,3,7,1,0,0,2,1,0,0
2715,4,19,Rio Claro,Flamengo,2,Baxley,24:2,8,12,2,2,0,2,2,2,0,1,1,2,1,1,1,2,3,0
2716,5,19,Rio Claro,Flamengo,2,Ansaloni,13:0,6,8,0,0,3,4,0,0,0,4,4,1,0,0,3,0,1,0
2717,6,19,Rio Claro,Flamengo,2,Figueroa,17:8,5,22,1,6,1,2,0,0,0,1,1,2,0,0,4,0,1,0
2718,7,19,Rio Claro,Flamengo,2,Pedro,21:3,4,14,0,2,2,3,0,2,1,1,2,1,0,0,0,2,0,0
2719,8,19,Rio Claro,Flamengo,2,Pastor,15:8,4,4,0,0,2,2,0,0,2,1,3,2,0,0,2,1,0,0
2720,9,19,Rio Claro,Flamengo,2,Thiaguinho,1:1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2721,10,19,Rio Claro,Flamengo,2,Lelê,0:7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2722,11,19,Rio Claro,Flamengo,2,Equipe,0:0,78,162,6,19,25,45,10,15,10,31,41,15,1,2,20,15,10,0
2723,0,19,Sesi Franca,São Paulo,1,David Jackson,39:1,24,37,5,7,2,5,5,6,0,3,3,2,0,0,2,6,2,0
2724,1,19,Sesi Franca,São Paulo,1,Parodi,23:8,19,30,5,8,0,1,4,4,2,1,3,2,0,0,5,4,3,0
2725,2,19,Sesi Franca,São Paulo,1,Jimmy,35:4,14,28,2,6,4,5,0,0,0,3,3,2,3,0,2,0,1,0
2726,3,19,Sesi Franca,São Paulo,1,Lucas Dias,42:7,13,25,1,3,4,5,2,4,2,5,7,3,0,1,3,4,0,1
2727,4,19,Sesi Franca,São Paulo,1,Guilherme,13:8,6,13,0,1,3,5,0,0,1,5,6,1,0,0,4,0,2,1
2728,5,19,Sesi Franca,São Paulo,1,Hettsheimeir,28:4,5,23,0,1,0,7,5,6,1,2,3,1,0,1,3,5,1,0
2729,6,19,Sesi Franca,São Paulo,1,Elinho,27:1,4,7,0,1,2,2,0,0,0,3,3,2,1,0,2,0,1,0
2730,7,19,Sesi Franca,São Paulo,1,Schattmann,12:5,2,10,0,2,1,2,0,0,0,1,1,1,0,0,1,1,0,0
2731,8,19,Sesi Franca,São Paulo,1,Márcio,0:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2732,9,19,Sesi Franca,São Paulo,1,Adyel,0:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2733,10,19,Sesi Franca,São Paulo,1,Edu Marília,0:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2734,11,19,Sesi Franca,São Paulo,1,Guilherme,2:3,0,6,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2735,12,19,Sesi Franca,São Paulo,1,Equipe,0:0,87,179,13,31,16,32,16,20,7,28,35,14,4,2,23,20,10,2
2736,0,19,São Paulo,Sesi Franca,2,Georginho,45:0,23,38,3,7,2,3,10,11,0,11,11,6,1,0,4,5,3,0
2737,1,19,São Paulo,Sesi Franca,2,Léo Meindl,33:8,18,37,2,5,4,7,4,8,1,3,4,6,1,0,5,7,2,1
2738,2,19,São Paulo,Sesi Franca,2,Renan,39:4,17,28,2,4,5,7,1,2,1,4,5,0,0,0,4,4,1,1
2739,3,19,São Paulo,Sesi Franca,2,Jefferson,38:5,13,34,3,8,1,4,2,2,6,3,9,0,1,1,1,3,4,0
2740,4,19,São Paulo,Sesi Franca,2,Shamell,45:0,13,38,3,8,2,6,0,2,1,4,5,5,0,0,2,1,2,0
2741,5,19,São Paulo,Sesi Franca,2,Kurtz,10:5,4,6,0,0,2,2,0,2,0,1,1,0,1,0,2,1,0,2
2742,6,19,São Paulo,Sesi Franca,2,Murilo,0:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2743,7,19,São Paulo,Sesi Franca,2,Mamedes,0:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2744,8,19,São Paulo,Sesi Franca,2,Jones,12:8,0,3,0,1,0,0,0,0,0,0,0,1,0,0,3,1,0,0
2745,9,19,São Paulo,Sesi Franca,2,Cassiano,0:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2746,10,19,São Paulo,Sesi Franca,2,Igor,0:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2747,11,19,São Paulo,Sesi Franca,2,Danilo,0:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2748,12,19,São Paulo,Sesi Franca,2,Equipe,0:0,88,184,13,33,16,29,17,27,10,29,39,18,4,1,21,22,13,4
2749,0,19,Corinthians,Pinheiros,1,Robinson,31:4,18,26,2,4,5,6,2,2,1,3,4,1,0,0,2,1,3,0
