,Njogador,Temporada,Time,Adv,C_F,Jogador,Min,Pts_C,Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_Pts_C,LL_Pts_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN
108,2,19,Mogi,São José,2,Alexey,20:7,16,32,0,3,7,10,2,3,0,2,2,5,3,0,1,3,3,0
109,3,19,Mogi,São José,2,André Goes,33:7,11,37,2,7,2,7,1,2,2,5,7,4,2,0,4,3,1,0
110,4,19,Mogi,São José,2,Fabricio,27:3,9,20,3,6,0,1,0,0,1,1,2,3,2,0,0,0,0,0
111,5,19,Mogi,São José,2,Colina,6:0,5,5,1,1,1,1,0,0,0,0,0,0,0,0,2,0,1,0
112,6,19,Mogi,São José,2,João Pedro,4:1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
113,7,19,Mogi,São José,2,Guga,3:9,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
114,8,19,Mogi,São José,2,Ziggy,0:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,9,19,Mogi,São José,2,Fúlvio,23:4,0,16,0,4,0,2,0,0,1,2,3,3,1,0,3,0,1,0
116,10,19,Mogi,São José,2,Alex,10:9,0,5,0,1,0,1,0,0,0,1,1,0,3,0,1,0,0,0
117,11,19,Mogi,São José,2,Lessa,4:7,0,2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0
118,12,19,Mogi,São José,2,Equipe,0:0,89,194,9,25,26,51,10,17,14,21,35,19,12,1,18,15,11,1
119,0,19,Pinheiros,Rio Claro,1,C. Torres,28:4,27,43,0,3,12,15,3,4,3,3,6,0,0,1,2,3,1,0
120,1,19,Pinheiros,Rio Claro,1,Ware,27:5,16,28,3,7,2,2,3,3,2,3,5,1,1,1,2,2,0,0
121,2,19,Pinheiros,Rio Claro,1,Betinho,27:4,8,24,1,4,1,4,3,4,0,2,2,3,0,0,4,7,2,0
122,3,19,Pinheiros,Rio Claro,1,Dawkins,27:7,8,27,2,5,0,5,2,2,0,1,1,4,1,0,2,2,2,0
123,4,19,Pinheiros,Rio Claro,1,Isaac,17:0,7,10,0,1,2,2,3,3,0,3,3,2,0,0,0,3,1,0
124,5,19,Pinheiros,Rio Claro,1,Bennett,29:7,7,23,0,3,2,5,3,4,0,1,1,5,1,0,3,4,2,0
125,6,19,Pinheiros,Rio Claro,1,Scaglia,13:3,5,10,1,2,1,2,0,0,1,3,4,1,0,1,1,0,1,0
126,7,19,Pinheiros,Rio Claro,1,L. Cauê,17:2,2,12,0,0,1,6,0,0,3,3,6,2,0,0,4,1,1,0
127,8,19,Pinheiros,Rio Claro,1,Buffat,12:0,0,2,0,0,0,1,0,0,0,3,3,2,1,0,5,2,0,0
128,9,19,Pinheiros,Rio Claro,1,Toledo,0:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,10,19,Pinheiros,Rio Claro,1,Equipe,0:0,80,179,7,25,21,42,17,20,12,24,36,20,4,3,23,24,10,0
130,0,19,Rio Claro,Pinheiros,2,Enzo,30:1,18,32,2,5,4,6,4,5,0,3,3,3,1,0,2,4,1,0
131,1,19,Rio Claro,Pinheiros,2,Sahdi,17:6,18,31,3,5,0,3,9,10,0,2,2,5,1,0,3,5,2,0
132,2,19,Rio Claro,Pinheiros,2,Pastor,31:7,15,27,3,5,3,6,0,0,4,6,10,0,0,0,1,0,1,1
133,3,19,Rio Claro,Pinheiros,2,Ansaloni,30:5,12,24,2,4,2,5,2,2,0,5,5,1,2,1,4,4,2,0
134,4,19,Rio Claro,Pinheiros,2,Figueroa,27:2,8,11,2,3,1,1,0,0,0,0,0,5,0,0,4,2,1,0
135,5,19,Rio Claro,Pinheiros,2,Gerson,20:7,7,15,0,0,2,5,3,5,1,5,6,1,1,0,3,4,1,1
136,6,19,Rio Claro,Pinheiros,2,Pedro,12:5,4,9,0,1,2,3,0,0,1,3,4,1,2,0,3,0,1,0
137,7,19,Rio Claro,Pinheiros,2,Baxley,17:4,3,9,0,1,0,1,3,4,0,1,1,0,0,0,1,2,0,0
138,8,19,Rio Claro,Pinheiros,2,Lucão,12:0,1,6,0,0,0,2,1,2,2,0,2,0,0,0,3,2,2,0
139,9,19,Rio Claro,Pinheiros,2,Bruno,0:3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,10,19,Rio Claro,Pinheiros,2,Equipe,0:0,86,164,12,24,14,32,22,28,9,28,37,16,7,1,24,23,13,2
141,0,19,Corinthians,Mogi,1,Fischer,28:5,23,36,2,5,6,7,5,7,1,4,5,4,1,1,1,6,2,0
142,1,19,Corinthians,Mogi,1,Nesbitt,33:1,17,33,1,4,3,6,8,9,2,6,8,1,0,0,3,5,1,0
143,2,19,Corinthians,Mogi,1,Fuller,29:6,15,26,2,5,2,3,5,5,0,0,0,4,2,0,5,4,2,0
144,3,19,Corinthians,Mogi,1,Vezaro,33:7,13,31,3,9,1,1,2,2,0,4,4,1,0,0,4,2,1,0
145,4,19,Corinthians,Mogi,1,Wesley,24:5,6,16,0,2,2,4,2,2,0,5,5,0,2,0,3,1,3,1
146,5,19,Corinthians,Mogi,1,Robinson,15:1,2,5,0,1,0,0,2,2,0,5,5,0,0,0,1,1,2,0
147,6,19,Corinthians,Mogi,1,Douglas Santos,2:9,1,2,0,0,0,0,1,2,1,0,1,0,0,0,0,1,0,0
148,7,19,Corinthians,Mogi,1,Pecos,14:3,1,13,0,3,0,1,1,2,0,5,5,3,1,0,3,2,2,0
149,8,19,Corinthians,Mogi,1,Humberto,7:9,0,4,0,0,0,2,0,0,1,0,1,0,0,1,0,2,1,0
150,9,19,Corinthians,Mogi,1,Johnson,10:6,0,0,0,0,0,0,0,0,1,0,1,0,0,1,2,0,1,0
151,10,19,Corinthians,Mogi,1,Equipe,0:0,78,166,8,29,14,24,26,31,8,32,40,13,6,3,23,24,16,1
152,0,19,Mogi,Corinthians,2,Fuzaro,34:1,20,30,1,2,5,8,7,8,0,3,3,3,0,0,3,6,1,0
153,1,19,Mogi,Corinthians,2,André Goes,37:0,17,39,4,8,2,7,1,1,0,3,3,2,1,1,4,1,4,0
154,2,19,Mogi,Corinthians,2,Alexey,25:9,9,24,0,3,4,7,1,1,0,4,4,4,3,0,2,3,0,0
155,3,19,Mogi,Corinthians,2,Fabricio,21:9,6,20,2,6,0,1,0,0,0,3,3,1,0,0,3,2,1,0
156,4,19,Mogi,Corinthians,2,Fúlvio,31:1,6,22,1,3,0,3,3,7,2,0,2,6,0,0,3,5,4,0
157,5,19,Mogi,Corinthians,2,Paranhos,18:2,6,10,0,0,2,4,2,2,2,5,7,0,0,0,4,1,2,0
158,6,19,Mogi,Corinthians,2,Lessa,10:9,4,11,0,2,2,2,0,1,0,3,3,0,0,0,1,1,1,0
159,7,19,Mogi,Corinthians,2,João Pedro,15:0,2,7,0,1,1,2,0,0,0,1,1,1,0,0,1,1,0,0
160,8,19,Mogi,Corinthians,2,Guga,2:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
161,9,19,Mogi,Corinthians,2,Colina,0:2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
