,Time,Oponente,Data,Casa/Fora,Classificatoria/Playoffs,Nome,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,substituicao_entra,substituicao_sai,Ar_Pts_C,Ar_Pts_T,Pts_C,Pts_T,posse_de_bola_Oliver,Diferenca_Placar,Vitoria/Derrota,Periodos_Positivos,posse_de_bola,Ataques/min,Tempo_de_posse,Semana
188,Paulistano,Joinville   AABJ ,14/01/2018 11:00,casa,1º TURNO,Equipe,21,96,36,78,18,23,13,36,49,18,6,2,17,18,11,3,34,44,22,71,75,197,80.0,11.0,vitória,8,76,4.0,19,CAP 75  X  64 VER RELATÓRIO  JLE
189,Joinville   AABJ ,Paulistano,14/01/2018 11:00,fora,1º TURNO,Equipe,15,69,32,86,17,22,11,33,44,10,9,1,19,17,13,1,25,35,20,66,64,177,78.0,-11.0,derrota,4,76,3.62,21,CAP 75  X  64 VER RELATÓRIO  JLE
190,Fortaleza Basquete,Flamengo,14/01/2018 12:00,casa,1º TURNO,Equipe,27,90,36,58,12,27,14,20,34,13,3,3,22,23,10,6,25,20,21,59,75,175,66.0,-17.0,derrota,5,67,3.35,20,CEA 75  X  92 VER RELATÓRIO  FLA
191,Flamengo,Fortaleza Basquete,14/01/2018 12:00,fora,1º TURNO,Equipe,36,78,38,68,18,25,12,24,36,16,6,1,25,22,9,0,17,12,31,60,92,171,69.0,17.0,vitória,10,67,3.35,20,CEA 75  X  92 VER RELATÓRIO  FLA
192,Vitória,Minas,14/01/2018 20:00,casa,1º TURNO,Equipe,27,75,44,96,11,18,13,37,50,24,8,1,20,20,11,3,31,26,28,73,82,189,78.0,25.0,vitória,5,72,3.43,21,VIT 82  X  57 VER RELATÓRIO  MIN
193,Minas,Vitória,14/01/2018 20:00,fora,1º TURNO,Equipe,21,93,26,64,10,17,6,30,36,15,5,2,20,20,14,2,28,23,18,63,57,174,78.0,-25.0,derrota,4,72,3.79,19,VIT 82  X  57 VER RELATÓRIO  MIN
194,Botafogo,Sesi Franca,15/01/2018 20:00,casa,1º TURNO,Equipe,27,57,30,70,6,16,4,28,32,12,7,8,20,16,14,1,22,17,23,54,63,143,71.0,-4.0,derrota,4,70,3.68,19,BOT 63  X  67 VER RELATÓRIO  FRA
195,Sesi Franca,Botafogo,15/01/2018 20:00,fora,1º TURNO,Equipe,12,90,42,84,13,18,22,26,48,16,8,1,16,20,12,1,23,18,24,72,67,192,70.0,4.0,vitória,5,69,3.29,21,BOT 63  X  67 VER RELATÓRIO  FRA
196,Paulistano,KTO Caxias do Sul,16/01/2018 19:30,casa,1º TURNO,Equipe,33,105,34,48,21,25,8,26,34,20,5,3,18,22,12,1,32,42,27,59,88,178,73.0,18.0,vitória,5,71,3.38,21,CAP 88  X  70 VER RELATÓRIO  CAX
197,KTO Caxias do Sul,Paulistano,16/01/2018 19:30,fora,1º TURNO,Equipe,24,72,32,64,14,16,7,21,28,18,5,1,24,17,12,1,28,38,23,56,70,152,69.0,-18.0,derrota,5,70,3.68,19,CAP 88  X  70 VER RELATÓRIO  CAX
198,Vitória,Flamengo,16/01/2018 19:30,casa,1º TURNO,Equipe,21,66,34,88,13,17,8,25,33,22,6,1,15,18,13,3,27,22,21,66,68,171,79.0,-8.0,derrota,6,71,3.74,19,VIT 68  X  76 VER RELATÓRIO  FLA
199,Flamengo,Vitória,16/01/2018 19:30,fora,1º TURNO,Equipe,21,78,48,82,7,8,9,25,34,19,4,0,18,15,13,1,13,8,30,67,76,168,74.0,8.0,vitória,5,71,3.38,21,VIT 68  X  76 VER RELATÓRIO  FLA
200,VipTech CMB,Joinville   AABJ ,16/01/2018 20:15,casa,1º TURNO,Equipe,12,66,48,94,12,18,19,21,40,13,6,0,20,18,14,0,31,26,28,69,72,178,70.0,-3.0,derrota,4,67,3.35,20,CMO 72  X  75 VER RELATÓRIO  JLE
201,Joinville   AABJ ,VipTech CMB,16/01/2018 20:15,fora,1º TURNO,Equipe,27,75,42,68,6,11,8,22,30,12,9,3,18,20,12,0,21,16,30,59,75,154,68.0,3.0,vitória,4,66,3.3,20,CMO 72  X  75 VER RELATÓRIO  JLE
202,Fortaleza Basquete,Minas,16/01/2018 20:30,casa,1º TURNO,Equipe,27,69,32,80,7,10,8,27,35,14,3,3,18,14,11,1,27,21,24,63,66,159,69.0,8.0,vitória,4,60,2.86,21,CEA 66  X  58 VER RELATÓRIO  MIN
203,Minas,Fortaleza Basquete,16/01/2018 20:30,fora,1º TURNO,Equipe,18,60,24,64,16,24,7,27,34,14,6,2,16,16,8,1,32,27,17,52,58,148,64.0,-8.0,derrota,4,62,3.26,19,CEA 66  X  58 VER RELATÓRIO  MIN
204,Mogi das Cruzes,Liga Sorocabana,17/01/2018 20:00,casa,1º TURNO,Equipe,30,96,40,68,12,22,15,29,44,24,6,4,19,27,11,1,28,23,29,66,82,186,71.0,9.0,vitória,7,69,3.63,19,MOG 82  X  73 VER RELATÓRIO  LSB
205,Liga Sorocabana,Mogi das Cruzes,17/01/2018 20:00,fora,1º TURNO,Equipe,24,93,34,74,15,16,13,25,38,13,4,2,28,17,10,0,37,32,25,68,73,183,71.0,-9.0,derrota,9,69,3.45,20,MOG 82  X  73 VER RELATÓRIO  LSB
206,Vasco da Gama,Bauru,17/01/2018 20:00,casa,1º TURNO,Equipe,30,81,38,64,18,29,6,26,32,20,5,0,22,25,9,2,22,17,27,59,86,174,73.0,-1.0,derrota,8,76,3.8,20,VAS 86  X  87 VER RELATÓRIO  BAU
207,Bauru,Vasco da Gama,17/01/2018 20:00,fora,1º TURNO,Equipe,30,78,36,68,21,27,10,27,37,16,6,0,25,22,12,0,27,22,28,60,87,173,73.0,1.0,vitória,7,75,3.75,20,VAS 86  X  87 VER RELATÓRIO  BAU
208,Vitória,Pinheiros,18/01/2018 20:00,casa,2º TURNO,Equipe,12,69,48,110,19,22,13,22,35,18,12,3,23,21,12,4,27,27,24,78,79,201,86.0,3.0,vitória,7,77,3.85,20,VIT 79  X  76 VER RELATÓRIO  PIN
209,Pinheiros,Vitória,18/01/2018 20:00,fora,2º TURNO,Equipe,18,75,44,76,14,18,12,31,43,14,4,1,22,21,21,0,27,27,28,63,76,169,79.0,-3.0,derrota,8,76,3.8,20,VIT 79  X  76 VER RELATÓRIO  PIN
210,Flamengo,Botafogo,19/01/2018 20:00,casa,1º TURNO,Equipe,51,90,32,64,24,28,8,35,43,32,7,1,22,23,9,3,22,17,30,62,107,182,75.0,53.0,vitória,9,71,3.38,21,FLA 107  X  54 VER RELATÓRIO  BOT
211,Botafogo,Flamengo,19/01/2018 20:00,fora,1º TURNO,Equipe,15,51,26,72,13,21,6,21,27,15,1,2,24,22,15,0,27,22,18,53,54,144,70.0,-53.0,derrota,1,71,3.74,19,FLA 107  X  54 VER RELATÓRIO  BOT
212,Fortaleza Basquete,Pinheiros,20/01/2018 14:00,casa,2º TURNO,Equipe,24,57,30,68,12,18,10,23,33,16,7,5,22,22,24,2,24,19,21,53,66,143,74.0,2.0,vitória,2,71,3.09,23,CEA 66  X  64 VER RELATÓRIO  PIN
213,Pinheiros,Fortaleza Basquete,20/01/2018 14:00,fora,2º TURNO,Equipe,12,57,36,70,16,25,11,23,34,11,12,2,21,21,17,1,32,27,21,54,64,152,70.0,-2.0,derrota,3,71,4.18,17,CEA 66  X  64 VER RELATÓRIO  PIN
214,Paulistano,Bauru,20/01/2018 14:00,casa,2º TURNO,Equipe,42,105,30,74,16,17,15,29,44,18,4,2,21,19,10,2,36,31,27,72,88,196,73.0,9.0,vitória,6,72,3.27,22,CAP 88  X  79 VER RELATÓRIO  BAU
215,Bauru,Paulistano,20/01/2018 14:00,fora,2º TURNO,Equipe,18,81,38,60,23,29,6,27,33,14,6,2,20,20,7,0,22,17,25,57,79,170,71.0,-9.0,derrota,5,71,3.94,18,CAP 88  X  79 VER RELATÓRIO  BAU
216,VipTech CMB,Sesi Franca,20/01/2018 16:15,casa,2º TURNO,Equipe,9,60,38,104,13,21,13,27,40,12,8,1,24,18,11,2,33,28,20,72,60,185,79.0,-28.0,derrota,6,80,4.0,20,CMO 60  X  88 VER RELATÓRIO  FRA
217,Sesi Franca,VipTech CMB,20/01/2018 16:15,fora,2º TURNO,Equipe,33,75,36,68,19,32,9,41,50,13,6,1,19,21,16,3,27,22,26,59,88,175,78.0,28.0,vitória,7,79,3.95,20,CMO 60  X  88 VER RELATÓRIO  FRA
218,Paulistano,Sesi Franca,22/01/2018 19:30,casa,2º TURNO,Equipe,45,99,30,62,13,16,10,22,32,22,8,1,19,19,10,0,38,33,30,64,88,177,71.0,14.0,vitória,8,71,3.55,20,CAP 88  X  74 VER RELATÓRIO  FRA
219,Sesi Franca,Paulistano,22/01/2018 19:30,fora,2º TURNO,Equipe,18,75,40,72,16,18,13,23,36,12,3,3,21,19,16,2,26,21,24,61,74,165,72.0,-14.0,derrota,5,70,3.5,20,CAP 88  X  74 VER RELATÓRIO  FRA
220,Mogi das Cruzes,Botafogo,22/01/2018 20:00,casa,2º TURNO,Equipe,36,87,36,70,12,17,14,24,38,21,7,0,17,20,16,1,47,52,29,64,84,174,72.0,14.0,vitória,7,72,3.27,22,MOG 84  X  70 VER RELATÓRIO  BOT
221,Botafogo,Mogi das Cruzes,22/01/2018 20:00,fora,2º TURNO,Equipe,15,75,44,80,11,16,12,22,34,15,9,2,22,16,16,2,36,41,25,65,70,171,76.0,-14.0,derrota,5,71,3.94,18,MOG 84  X  70 VER RELATÓRIO  BOT
222,VipTech CMB,Bauru,22/01/2018 20:15,casa,2º TURNO,Equipe,21,57,32,82,6,14,11,22,33,16,4,1,13,18,15,2,23,18,21,60,59,153,71.0,-38.0,derrota,3,70,3.18,22,CMO 59  X  97 VER RELATÓRIO  BAU
223,Bauru,VipTech CMB,22/01/2018 20:15,fora,2º TURNO,Equipe,42,90,50,70,5,9,7,31,38,26,8,2,19,13,9,4,19,14,35,65,97,169,70.0,38.0,vitória,8,70,4.12,17,CMO 59  X  97 VER RELATÓRIO  BAU
224,Vasco da Gama,Minas,23/01/2018 19:30,casa,2º TURNO,Equipe,27,99,42,74,1,4,15,32,47,19,9,4,13,15,15,2,31,27,28,70,70,177,71.0,16.0,vitória,5,71,3.38,21,VAS 70  X  54 VER RELATÓRIO  MIN
225,Minas,Vasco da Gama,23/01/2018 19:30,fora,2º TURNO,Equipe,18,81,24,68,12,14,10,27,37,16,10,3,15,13,14,2,26,21,16,61,54,163,72.0,-16.0,derrota,2,71,3.74,19,VAS 70  X  54 VER RELATÓRIO  MIN
226,Fortaleza Basquete,Liga Sorocabana,23/01/2018 20:30,casa,2º TURNO,Equipe,15,57,58,86,10,15,8,30,38,19,4,2,14,19,12,5,26,21,29,62,83,158,72.0,19.0,vitória,6,70,3.5,20,CEA 83  X  64 VER RELATÓRIO  LSB
227,Liga Sorocabana,Fortaleza Basquete,23/01/2018 20:30,fora,2º TURNO,Equipe,21,69,36,80,7,11,4,22,26,8,5,1,20,14,12,1,42,37,24,63,64,160,76.0,-19.0,derrota,4,70,3.5,20,CEA 83  X  64 VER RELATÓRIO  LSB
228,Vitória,Liga Sorocabana,25/01/2018 20:30,casa,2º TURNO,Equipe,36,63,38,84,21,24,12,34,46,24,10,1,20,20,23,2,33,28,29,63,95,171,83.0,26.0,vitória,7,78,4.33,18,VIT 95  X  69 VER RELATÓRIO  LSB
229,Liga Sorocabana,Vitória,25/01/2018 20:30,fora,2º TURNO,Equipe,15,69,34,94,20,26,11,16,27,14,14,4,20,18,14,1,38,33,21,70,69,189,83.0,-26.0,derrota,4,79,3.59,22,VIT 95  X  69 VER RELATÓRIO  LSB
230,Joinville   AABJ ,KTO Caxias do Sul,26/01/2018 20:00,casa,2º TURNO,Equipe,30,99,24,46,16,19,11,21,32,11,7,3,21,19,17,0,18,23,22,56,70,164,71.0,-6.0,derrota,5,66,3.3,20,JLE 70  X  76 VER RELATÓRIO  CAX
231,KTO Caxias do Sul,Joinville   AABJ ,26/01/2018 20:00,fora,2º TURNO,Equipe,27,60,30,66,19,27,11,21,32,13,11,0,22,20,14,0,19,24,24,53,76,153,67.0,6.0,vitória,5,66,3.3,20,JLE 70  X  76 VER RELATÓRIO  CAX
232,Vasco da Gama,Flamengo,27/01/2018 14:00,casa,2º TURNO,Equipe,15,57,44,76,16,25,12,21,33,19,5,3,13,25,14,2,26,21,25,57,75,158,69.0,-14.0,derrota,5,69,3.45,20,VAS 75  X  89 VER RELATÓRIO  FLA
233,Flamengo,Vasco da Gama,27/01/2018 14:00,fora,2º TURNO,Equipe,36,90,48,72,5,9,10,25,35,18,6,2,27,12,11,3,32,27,33,66,89,171,71.0,14.0,vitória,7,68,3.4,20,VAS 75  X  89 VER RELATÓRIO  FLA
234,Minas,VipTech CMB,29/01/2018 19:00,casa,2º TURNO,Equipe,15,81,42,90,17,23,12,20,32,20,9,3,18,23,6,3,45,40,23,72,74,194,76.0,-7.0,derrota,5,72,3.6,20,MIN 74  X  81 VER RELATÓRIO  CMO
235,VipTech CMB,Minas,29/01/2018 19:00,fora,2º TURNO,Equipe,33,60,38,74,10,13,6,36,42,19,1,4,23,17,15,2,43,38,28,57,81,147,71.0,7.0,vitória,5,72,3.6,20,MIN 74  X  81 VER RELATÓRIO  CMO
236,Sesi Franca,KTO Caxias do Sul,30/01/2018 19:30,casa,2º TURNO,Equipe,36,72,38,68,8,16,11,25,36,19,7,4,20,21,16,3,37,32,28,58,82,156,69.0,8.0,vitória,8,69,3.45,20,FRA 82  X  74 VER RELATÓRIO  CAX
237,KTO Caxias do Sul,Sesi Franca,30/01/2018 19:30,fora,2º TURNO,Equipe,24,66,42,80,8,9,7,19,26,17,10,5,22,20,11,2,32,26,27,62,74,155,70.0,-8.0,derrota,7,70,3.5,20,FRA 82  X  74 VER RELATÓRIO  CAX
238,Liga Sorocabana,Vasco da Gama,30/01/2018 20:00,casa,2º TURNO,Equipe,15,63,50,88,10,18,9,25,34,19,5,1,22,21,16,0,36,41,30,65,75,169,79.0,-5.0,derrota,6,77,2.96,26,LSB 75  X  80 VER RELATÓRIO  VAS
239,Vasco da Gama,Liga Sorocabana,30/01/2018 20:00,fora,2º TURNO,Equipe,21,72,42,66,17,21,5,28,33,12,8,0,21,21,16,1,32,37,27,57,80,159,77.0,5.0,vitória,7,77,4.05,19,LSB 75  X  80 VER RELATÓRIO  VAS
240,Bauru,Joinville   AABJ ,31/01/2018 19:00,casa,2º TURNO,Equipe,24,75,56,78,8,12,9,38,47,22,5,4,18,19,14,2,21,31,34,64,88,165,74.0,47.0,vitória,6,71,3.74,19,BAU 88  X  41 VER RELATÓRIO  JLE
241,Joinville   AABJ ,Bauru,31/01/2018 19:00,fora,2º TURNO,Equipe,12,84,22,66,7,14,9,21,30,7,2,0,19,18,14,2,29,39,13,61,41,164,72.0,-47.0,derrota,1,70,3.33,21,BAU 88  X  41 VER RELATÓRIO  JLE
242,Fortaleza Basquete,Vitória,31/01/2018 20:30,casa,2º TURNO,Equipe,30,105,36,72,12,14,11,25,36,13,14,2,21,20,11,3,26,21,25,71,78,191,77.0,1.0,vitória,3,74,3.7,20,CEA 78  X  77 VER RELATÓRIO  VIT
243,Vitória,Fortaleza Basquete,31/01/2018 20:30,fora,2º TURNO,Equipe,21,66,40,82,16,20,11,33,44,16,5,4,20,21,15,0,31,26,27,63,77,168,75.0,-1.0,derrota,7,74,3.7,20,CEA 78  X  77 VER RELATÓRIO  VIT
244,Minas,Paulistano,01/02/2018 19:00,casa,2º TURNO,Equipe,27,81,42,90,11,12,11,19,30,27,13,2,18,15,10,4,41,36,26,72,80,183,76.0,-8.0,derrota,6,75,3.75,20,MIN 80  X  88 VER RELATÓRIO  CAP
245,Paulistano,Minas,01/02/2018 19:00,fora,2º TURNO,Equipe,51,114,30,52,7,11,14,31,45,25,7,5,16,16,21,1,46,41,31,64,88,177,75.0,8.0,vitória,6,75,3.75,20,MIN 80  X  88 VER RELATÓRIO  CAP
246,Pinheiros,Botafogo,01/02/2018 19:30,casa,2º TURNO,Equipe,3,33,52,94,25,33,11,33,44,18,5,2,17,22,19,1,32,32,26,58,80,160,79.0,3.0,vitória,7,78,3.55,22,PIN 80  X  77 VER RELATÓRIO  BOT
247,Botafogo,Pinheiros,01/02/2018 19:30,fora,2º TURNO,Equipe,30,78,34,70,13,22,5,23,28,16,9,1,26,15,12,1,34,34,26,61,77,170,78.0,-3.0,derrota,5,78,4.33,18,PIN 80  X  77 VER RELATÓRIO  BOT
248,Mogi das Cruzes,Vasco da Gama,01/02/2018 20:00,casa,2º TURNO,Equipe,42,102,36,62,11,11,8,35,43,21,6,2,20,17,14,2,34,29,30,65,89,175,76.0,9.0,vitória,6,76,3.8,20,MOG 89  X  80 VER RELATÓRIO  VAS
249,Vasco da Gama,Mogi das Cruzes,01/02/2018 20:00,fora,2º TURNO,Equipe,30,72,38,88,12,17,8,23,31,26,9,2,18,19,10,1,31,26,28,68,80,177,77.0,-9.0,derrota,6,76,3.8,20,MOG 89  X  80 VER RELATÓRIO  VAS
250,Flamengo,VipTech CMB,01/02/2018 20:30,casa,2º TURNO,Equipe,24,96,50,68,18,25,12,30,42,31,7,1,18,20,9,3,24,19,30,66,92,189,73.0,23.0,vitória,5,74,3.7,20,FLA 92  X  69 VER RELATÓRIO  CMO
251,VipTech CMB,Flamengo,01/02/2018 20:30,fora,2º TURNO,Equipe,12,60,40,76,17,18,4,23,27,15,7,0,20,18,14,0,30,24,24,58,69,154,75.0,-23.0,derrota,4,74,3.7,20,FLA 92  X  69 VER RELATÓRIO  CMO
252,Flamengo,Paulistano,03/02/2018 14:00,casa,2º TURNO,Equipe,21,57,32,86,18,22,9,30,39,14,4,3,19,20,9,1,22,17,22,62,71,165,70.0,-1.0,derrota,5,71,3.94,18,FLA 71  X  72 VER RELATÓRIO  CAP
253,Paulistano,Flamengo,03/02/2018 14:00,fora,2º TURNO,Equipe,27,96,32,82,13,17,15,31,46,16,6,3,20,18,9,2,44,39,23,73,72,195,74.0,1.0,vitória,6,70,3.18,22,FLA 71  X  72 VER RELATÓRIO  CAP
254,Pinheiros,Vasco da Gama,03/02/2018 17:00,casa,2º TURNO,Equipe,24,87,36,68,12,16,10,31,41,22,7,3,21,20,9,1,28,23,25,63,72,171,70.0,-4.0,derrota,4,71,3.55,20,PIN 72  X  76 VER RELATÓRIO  VAS
255,Vasco da Gama,Pinheiros,03/02/2018 17:00,fora,2º TURNO,Equipe,33,102,26,48,17,21,4,28,32,22,6,2,20,20,10,1,29,24,23,58,76,171,74.0,4.0,vitória,4,70,3.5,20,PIN 72  X  76 VER RELATÓRIO  VAS
256,Liga Sorocabana,Botafogo,03/02/2018 18:00,casa,2º TURNO,Equipe,15,63,30,68,23,31,13,25,38,12,6,2,26,27,14,2,34,29,18,55,68,162,68.0,-7.0,derrota,3,66,3.3,20,LSB 68  X  75 VER RELATÓRIO  BOT
257,Botafogo,Liga Sorocabana,03/02/2018 18:00,fora,2º TURNO,Equipe,27,69,28,70,20,25,12,24,36,12,6,2,27,25,11,0,29,26,23,58,75,164,67.0,7.0,vitória,3,65,3.25,20,LSB 68  X  75 VER RELATÓRIO  BOT
258,VipTech CMB,Mogi das Cruzes,05/02/2018 20:15,casa,2º TURNO,Equipe,27,72,32,84,10,16,10,29,39,16,8,2,19,20,12,0,28,23,25,66,69,172,76.0,-28.0,derrota,3,75,3.41,22,CMO 69  X  97 VER RELATÓRIO  MOG
259,Mogi das Cruzes,VipTech CMB,05/02/2018 20:15,fora,2º TURNO,Equipe,42,99,44,78,11,20,12,31,43,28,6,0,20,18,8,2,26,21,34,72,97,197,76.0,28.0,vitória,7,75,4.17,18,CMO 69  X  97 VER RELATÓRIO  MOG
260,Bauru,Sesi Franca,06/02/2018 19:30,casa,2º TURNO,Equipe,12,81,30,56,18,22,9,26,35,8,10,6,19,22,24,0,21,31,19,55,60,159,79.0,-21.0,derrota,2,74,3.52,21,BAU 60  X  81 VER RELATÓRIO  FRA
261,Sesi Franca,Bauru,06/02/2018 19:30,fora,2º TURNO,Equipe,15,66,52,90,14,15,9,26,35,17,13,2,23,16,15,2,26,36,29,67,81,171,79.0,21.0,vitória,8,74,3.89,19,BAU 60  X  81 VER RELATÓRIO  FRA
262,Vasco da Gama,Vitória,06/02/2018 20:00,casa,2º TURNO,Equipe,36,108,34,46,15,21,8,21,29,24,9,1,21,23,12,0,32,27,29,59,85,175,73.0,-4.0,derrota,6,72,3.79,19,VAS 85  X  89 VER RELATÓRIO  VIT
263,Vitória,Vasco da Gama,06/02/2018 20:00,fora,2º TURNO,Equipe,30,78,44,70,15,18,10,24,34,23,10,0,23,21,14,0,31,26,32,61,89,166,72.0,4.0,vitória,9,72,3.43,21,VAS 85  X  89 VER RELATÓRIO  VIT
264,Botafogo,Fortaleza Basquete,06/02/2018 20:00,casa,2º TURNO,Equipe,15,75,40,68,15,25,9,26,35,15,13,5,25,26,14,3,30,25,22,59,70,168,74.0,2.0,vitória,7,74,4.11,18,BOT 70  X  68 VER RELATÓRIO  CEA
265,Fortaleza Basquete,Botafogo,06/02/2018 20:00,fora,2º TURNO,Equipe,18,93,34,64,16,20,15,32,47,6,7,1,27,25,18,1,19,14,22,63,68,177,74.0,-2.0,derrota,5,74,3.36,22,BOT 70  X  68 VER RELATÓRIO  CEA
266,KTO Caxias do Sul,Minas,06/02/2018 20:00,casa,2º TURNO,Equipe,30,93,28,56,13,21,13,17,30,13,7,2,20,22,15,1,25,20,23,59,71,170,71.0,-20.0,derrota,3,69,3.45,20,JLE 81  X  91 VER RELATÓRIO  FLA
267,Minas,KTO Caxias do Sul,06/02/2018 20:00,fora,2º TURNO,Equipe,45,81,30,48,16,23,6,25,31,23,9,4,22,20,12,2,37,32,28,51,91,152,67.0,20.0,vitória,6,68,3.4,20,JLE 81  X  91 VER RELATÓRIO  FLA
268,Paulistano,Liga Sorocabana,06/02/2018 20:05,casa,2º TURNO,Equipe,18,45,48,74,18,33,10,24,34,16,11,4,19,27,13,1,38,33,29,52,84,152,70.0,25.0,vitória,9,69,4.06,17,CAX 71  X  91 VER RELATÓRIO  MIN
269,Liga Sorocabana,Paulistano,06/02/2018 20:05,fora,2º TURNO,Equipe,15,48,34,84,10,21,16,18,34,14,7,1,27,17,18,0,41,36,22,58,59,153,69.0,-25.0,derrota,5,69,3.14,22,CAX 71  X  91 VER RELATÓRIO  MIN
270,VipTech CMB,Pinheiros,07/02/2018 19:30,casa,2º TURNO,Equipe,15,63,38,68,7,13,4,30,34,12,10,1,14,15,15,1,26,21,23,55,60,144,72.0,-4.0,derrota,3,70,3.04,23,CAP 84  X  59 VER RELATÓRIO  LSB
271,Pinheiros,VipTech CMB,07/02/2018 19:30,fora,2º TURNO,Equipe,15,66,42,90,7,12,14,29,43,21,12,1,15,14,10,0,26,21,26,67,64,168,69.0,4.0,vitória,5,70,4.12,17,CAP 84  X  59 VER RELATÓRIO  LSB
272,Joinville   AABJ ,Minas,07/02/2018 20:15,casa,2º TURNO,Equipe,21,78,36,80,9,14,12,32,44,15,9,3,24,19,17,3,31,36,22,66,66,172,77.0,-7.0,derrota,6,75,3.41,22,CMO 60  X  64 VER RELATÓRIO  PIN
273,Minas,Joinville   AABJ ,07/02/2018 20:15,fora,2º TURNO,Equipe,30,78,26,70,17,25,10,31,41,14,14,1,20,23,17,4,36,41,19,61,73,173,79.0,7.0,vitória,5,76,3.3,23,CMO 60  X  64 VER RELATÓRIO  PIN
274,Botafogo,Vitória,08/02/2018 20:00,casa,2º TURNO,Equipe,39,84,44,72,11,14,7,22,29,18,7,4,19,16,9,1,28,23,34,64,94,170,72.0,20.0,vitória,9,71,3.23,22,JLE 66  X  73 VER RELATÓRIO  MIN
275,Vitória,Botafogo,08/02/2018 20:00,fora,2º TURNO,Equipe,15,78,42,78,17,21,17,22,39,15,4,2,17,19,16,2,29,24,24,65,74,177,73.0,-20.0,derrota,7,71,3.94,18,JLE 66  X  73 VER RELATÓRIO  MIN
276,Vasco da Gama,Fortaleza Basquete,08/02/2018 20:00,casa,2º TURNO,Equipe,21,72,56,86,19,26,11,22,33,30,4,0,22,20,10,1,46,42,34,67,96,184,78.0,4.0,vitória,8,72,4.0,18,BOT 94  X  74 VER RELATÓRIO  VIT
277,Fortaleza Basquete,Vasco da Gama,08/02/2018 20:00,fora,2º TURNO,Equipe,45,93,30,54,17,24,7,24,31,23,5,0,22,21,11,0,37,32,30,58,92,171,72.0,-4.0,derrota,3,72,3.27,22,BOT 94  X  74 VER RELATÓRIO  VIT
278,KTO Caxias do Sul,Flamengo,08/02/2018 20:00,casa,2º TURNO,Equipe,18,60,44,84,13,18,9,23,32,13,5,2,20,16,16,3,20,15,25,62,75,162,75.0,-23.0,derrota,3,74,3.7,20,VAS 96  X  92 VER RELATÓRIO  CEA
279,Flamengo,KTO Caxias do Sul,08/02/2018 20:00,fora,2º TURNO,Equipe,27,51,52,90,19,22,5,27,32,28,9,1,17,18,9,1,23,18,34,62,98,163,75.0,23.0,vitória,7,74,3.7,20,VAS 96  X  92 VER RELATÓRIO  CEA
280,Paulistano,Mogi das Cruzes,08/02/2018 20:05,casa,2º TURNO,Equipe,33,111,36,70,15,22,16,31,47,21,6,3,22,20,9,1,39,49,28,72,84,203,74.0,17.0,vitória,5,68,3.24,21,CAX 75  X  98 VER RELATÓRIO  FLA
281,Mogi das Cruzes,Paulistano,08/02/2018 20:05,fora,2º TURNO,Equipe,21,93,32,60,14,22,11,26,37,16,6,3,22,22,10,1,31,41,22,61,67,175,69.0,-17.0,derrota,4,69,3.63,19,CAX 75  X  98 VER RELATÓRIO  FLA
282,Paulistano,Pinheiros,09/02/2018 19:30,casa,2º TURNO,Equipe,15,96,38,64,20,26,14,27,41,14,5,1,21,28,13,0,54,59,24,64,73,186,73.0,1.0,vitória,7,74,4.11,18,CAP 84  X  67 VER RELATÓRIO  MOG
283,Pinheiros,Paulistano,09/02/2018 19:30,fora,2º TURNO,Equipe,12,63,46,92,14,22,13,27,40,10,6,0,27,22,12,0,30,35,27,67,72,177,74.0,-1.0,derrota,6,73,3.32,22,CAP 84  X  67 VER RELATÓRIO  MOG
284,Pinheiros,KTO Caxias do Sul,12/02/2018 18:00,casa,2º TURNO,Equipe,24,48,46,94,20,28,10,24,34,17,6,2,18,23,10,0,26,21,31,63,90,170,75.0,15.0,vitória,6,73,3.32,22,CAP 73  X  72 VER RELATÓRIO  PIN
285,KTO Caxias do Sul,Pinheiros,12/02/2018 18:00,fora,2º TURNO,Equipe,12,57,52,86,11,18,9,23,32,17,6,3,23,18,13,1,23,18,29,62,75,161,75.0,-15.0,derrota,5,73,4.06,18,CAP 73  X  72 VER RELATÓRIO  PIN
286,Liga Sorocabana,Joinville   AABJ ,14/02/2018 19:30,casa,2º TURNO,Equipe,12,60,34,92,5,10,18,31,49,8,4,2,21,10,19,1,33,43,20,66,51,162,71.0,-13.0,derrota,1,71,3.38,21,PIN 90  X  75 VER RELATÓRIO  CAX
287,Joinville   AABJ ,Liga Sorocabana,14/02/2018 19:30,fora,2º TURNO,Equipe,21,75,26,62,17,23,5,25,30,12,8,3,11,20,11,2,14,24,18,56,64,160,70.0,13.0,vitória,3,71,3.74,19,PIN 90  X  75 VER RELATÓRIO  CAX
288,Minas,Bauru,14/02/2018 20:00,casa,2º TURNO,Equipe,18,66,34,82,14,20,10,25,35,20,4,5,21,21,6,2,28,23,21,63,66,168,68.0,-15.0,derrota,4,69,3.45,20,LSB 51  X  64 VER RELATÓRIO  JLE
