,Time,Oponente,Data,Casa/Fora,Classificatoria/Playoffs,Nome,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,substituicao_entra,substituicao_sai,Ar_Pts_C,Ar_Pts_T,Pts_C,Pts_T,posse_de_bola_Oliver,Diferenca_Placar,Vitoria/Derrota,Periodos_Positivos,posse_de_bola,Ataques/min,Tempo_de_posse,Semana
57,KTO Caxias do Sul,Flamengo,30/11/2017 19:30,fora,1º TURNO,Equipe,12,54,36,86,21,33,9,25,34,17,4,1,21,31,8,4,21,16,18,61,69,173,73.0,-10.0,derrota,6,72,3.43,21,FLA 79  X  69 VER RELATÓRIO  CAX
58,Liga Sorocabana,VipTech CMB,30/11/2017 20:00,casa,1º TURNO,Equipe,9,45,34,80,20,29,15,27,42,7,13,2,29,23,20,1,49,44,19,55,63,154,72.0,-5.0,derrota,4,70,3.33,21,LSB 63  X  68 VER RELATÓRIO  CMO
59,VipTech CMB,Liga Sorocabana,30/11/2017 20:00,fora,1º TURNO,Equipe,24,69,26,68,18,27,10,24,34,14,12,2,25,29,18,2,46,41,19,57,68,164,76.0,5.0,vitória,5,71,3.74,19,LSB 63  X  68 VER RELATÓRIO  CMO
60,Fortaleza Basquete,Botafogo,01/12/2017 20:15,casa,1º TURNO,Equipe,18,90,24,58,19,23,13,31,44,8,8,3,18,19,15,1,32,27,17,59,61,171,70.0,14.0,vitória,5,68,3.4,20,CEA 61  X  47 VER RELATÓRIO  BOT
61,Botafogo,Fortaleza Basquete,01/12/2017 20:15,fora,1º TURNO,Equipe,15,69,24,62,8,19,8,28,36,11,8,1,20,18,14,0,26,21,17,54,47,150,68.0,-14.0,derrota,2,68,3.58,19,CEA 61  X  47 VER RELATÓRIO  BOT
62,Sesi Franca,Bauru,02/12/2017 14:00,casa,1º TURNO,Equipe,24,66,38,72,25,33,11,23,34,12,14,3,23,30,14,2,25,20,25,58,87,171,75.0,4.0,vitória,4,76,4.0,19,FRA 87  X  83 VER RELATÓRIO  BAU
63,Bauru,Sesi Franca,02/12/2017 14:00,fora,1º TURNO,Equipe,36,75,30,58,17,19,3,23,26,14,9,3,30,22,20,1,35,30,26,54,83,152,77.0,-4.0,derrota,4,77,3.67,21,FRA 87  X  83 VER RELATÓRIO  BAU
64,Mogi das Cruzes,VipTech CMB,02/12/2017 17:00,casa,1º TURNO,Equipe,18,78,40,88,14,15,14,24,38,15,8,2,15,18,9,2,39,34,24,70,72,181,72.0,3.0,vitória,6,66,3.14,21,MOG 72  X  69 VER RELATÓRIO  CMO
65,VipTech CMB,Mogi das Cruzes,02/12/2017 17:00,fora,1º TURNO,Equipe,27,69,32,54,10,15,5,27,32,13,5,1,19,15,18,1,58,53,24,50,69,138,69.0,-3.0,derrota,4,66,3.47,19,MOG 72  X  69 VER RELATÓRIO  CMO
66,Flamengo,Joinville   AABJ ,02/12/2017 18:00,casa,1º TURNO,Equipe,27,81,46,76,13,17,17,30,47,23,6,3,20,17,16,4,28,23,28,65,86,174,71.0,11.0,vitória,9,73,3.48,21,FLA 86  X  75 VER RELATÓRIO  JLE
